date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2024-06-22,21.8,12.9,1.5,18.4,3.3,8.9,15.100000000000005,86.8,1.0433333333333366,0,0
2024-06-23,23.9,13.4,0.2,10.7,3.93,10.499999999999998,14.800000000000004,68.8,2.9466666666666654,0,0
2024-06-24,25.6,14.9,0.0,17.3,5.1,10.700000000000001,10.900000000000004,68.10000000000001,4.483333333333334,0,0
2024-06-25,27.9,15.9,0.0,15.4,6.17,11.999999999999998,8.300000000000004,67.80000000000001,6.629999999999999,0,0
2024-06-26,29.9,18.2,0.1,12.8,5.0,11.7,6.700000000000004,63.8,8.346666666666664,0,0
2024-06-27,30.0,17.1,0.1,11.6,5.46,12.899999999999999,6.300000000000004,63.7,8.053333333333331,0,0
2024-06-28,26.8,17.0,6.9,20.2,5.25,9.8,8.800000000000004,66.9,4.590000000000003,0,1
2024-06-29,29.8,14.9,14.7,17.1,5.48,14.9,22.000000000000004,64.0,7.280000000000001,0,1
2024-06-30,23.2,16.9,16.4,16.0,2.08,6.300000000000001,38.2,75.3,0.5166666666666657,0,1
2024-07-01,20.0,14.1,1.5,17.5,3.62,5.9,39.7,67.1,-2.6833333333333336,0,0
2024-07-02,18.5,12.9,4.9,19.6,2.04,5.6,44.6,68.9,-4.106666666666669,0,0
2024-07-03,17.9,11.6,5.8,13.0,2.32,6.299999999999999,50.300000000000004,74.7,-4.643333333333334,0,0
2024-07-04,22.0,12.6,1.0,24.6,4.02,9.4,51.2,75.7,-0.5833333333333321,0,0
2024-07-05,23.2,11.7,0.0,23.3,3.34,11.5,44.300000000000004,73.7,0.5299999999999976,0,0
2024-07-06,25.0,12.9,1.0,26.8,3.25,12.1,30.6,74.3,2.1999999999999993,0,0
2024-07-07,21.5,10.1,0.0,14.6,3.88,11.4,14.200000000000003,74.3,-1.3000000000000007,0,0
2024-07-08,24.8,11.2,0.0,8.3,4.62,13.600000000000001,12.700000000000003,74.3,1.9566666666666706,0,0
2024-07-09,31.2,14.9,0.0,11.2,5.68,16.299999999999997,7.800000000000003,74.3,8.033333333333331,0,0
2024-07-10,26.2,18.9,2.8,17.3,3.59,7.300000000000001,4.800000000000003,76.8,2.8099999999999987,0,0
2024-07-11,26.1,17.4,2.9,13.4,3.96,8.700000000000003,6.700000000000003,79.5,2.40666666666667,0,0
2024-07-12,26.2,15.3,8.7,23.9,4.11,10.899999999999999,15.400000000000002,88.1,2.236666666666668,0,1
2024-07-13,21.4,11.9,0.8,15.8,4.03,9.499999999999998,15.200000000000003,88.9,-2.6700000000000017,0,0
2024-07-14,24.1,12.0,0.2,14.8,4.27,12.100000000000001,15.400000000000002,87.5,-0.14000000000000057,0,0
2024-07-15,29.2,12.7,2.7,6.6,5.08,16.5,18.1,85.8,4.669999999999995,0,0
2024-07-16,24.0,16.9,0.5,25.2,4.72,7.100000000000001,18.6,85.8,-0.6400000000000006,0,0
2024-07-17,23.9,15.9,1.2,12.6,4.02,7.999999999999998,17.0,83.1,-0.7666666666666693,0,0
2024-07-18,27.3,15.1,0.0,10.3,4.7,12.200000000000001,14.100000000000003,80.5,2.5966666666666676,0,0
2024-07-19,29.1,16.9,0.0,10.2,4.96,12.200000000000003,5.400000000000004,78.8,4.113333333333333,0,0
2024-07-20,31.2,17.8,0.0,9.4,5.16,13.399999999999999,4.600000000000004,78.3,6.0,0,0
2024-07-21,29.4,19.6,1.2,13.7,3.12,9.799999999999997,5.600000000000003,75.10000000000001,4.029999999999998,0,0
2024-07-22,27.2,18.8,0.8,11.9,4.72,8.399999999999999,3.7000000000000037,74.39999999999999,1.6499999999999986,0,0
2024-07-23,25.7,15.6,6.8,22.4,3.91,10.1,10.000000000000004,81.0,0.08999999999999986,0,1
2024-07-24,23.7,15.6,0.1,10.7,3.65,8.1,8.900000000000004,81.10000000000001,-1.8466666666666711,0,0
2024-07-25,25.5,13.3,0.0,8.7,4.31,12.2,8.900000000000004,81.10000000000001,0.03333333333333499,0,0
2024-07-26,24.4,17.2,10.7,14.6,2.64,7.199999999999999,19.6,91.69999999999999,-0.8833333333333364,0,1
2024-07-27,23.3,18.9,25.3,13.3,1.77,4.400000000000002,44.900000000000006,116.9,-1.759999999999998,0,1
2024-07-28,24.5,14.6,1.8,13.0,4.1,9.9,45.5,111.8,-0.4833333333333343,0,0
2024-07-29,26.2,13.9,0.0,11.0,5.02,12.299999999999999,44.7,97.1,1.336666666666666,0,0
2024-07-30,30.3,15.4,0.0,9.0,4.96,14.9,37.900000000000006,80.7,5.199999999999999,0,0
2024-07-31,30.5,17.9,3.1,13.0,4.7,12.600000000000001,40.900000000000006,82.3,5.050000000000001,0,0
2024-08-01,27.0,19.1,2.4,12.2,2.85,7.899999999999999,43.300000000000004,79.8,1.2666666666666657,0,0
2024-08-02,25.5,18.0,1.4,9.7,3.99,7.5,34.00000000000001,75.39999999999999,-0.48666666666666814,0,0
2024-08-03,25.4,17.0,0.8,16.3,3.39,8.399999999999999,9.500000000000007,75.2,-0.7000000000000028,0,0
2024-08-04,22.1,16.9,1.9,15.6,2.26,5.200000000000003,9.600000000000007,77.1,-3.963333333333331,0,0
2024-08-05,24.4,14.4,0.0,7.1,4.25,9.999999999999998,9.600000000000007,76.1,-1.6433333333333344,0,0
2024-08-06,28.2,14.7,0.0,7.8,4.57,13.5,9.600000000000007,76.1,1.9333333333333336,0,0
2024-08-07,27.0,16.5,9.0,18.4,3.12,10.5,15.500000000000007,85.1,0.6600000000000001,0,1
2024-08-08,24.8,16.0,0.2,14.8,3.63,8.8,13.300000000000006,85.3,-1.3266666666666644,0,0
2024-08-09,27.9,14.9,0.0,23.0,3.96,12.999999999999998,11.900000000000006,82.5,1.7166666666666686,0,0
2024-08-10,27.7,16.4,0.1,14.7,4.73,11.3,11.200000000000008,79.69999999999999,1.4633333333333312,0,0
2024-08-11,28.8,15.8,0.0,13.0,5.02,13.0,9.300000000000008,71.0,2.47666666666667,0,0
2024-08-12,31.9,18.4,0.0,11.6,4.77,13.5,9.300000000000008,70.19999999999999,5.226666666666663,0,0
2024-08-13,32.7,20.6,0.1,10.0,4.56,12.100000000000001,9.400000000000007,70.10000000000001,5.7400000000000055,0,0
2024-08-14,29.5,19.5,5.7,14.1,4.43,10.0,6.100000000000008,73.10000000000001,2.5300000000000047,0,0
2024-08-15,27.9,18.5,0.0,9.8,4.05,9.399999999999999,5.9000000000000075,72.60000000000001,0.8000000000000007,0,0
2024-08-16,29.0,18.1,0.0,13.7,5.03,10.899999999999999,5.9000000000000075,71.4,1.730000000000004,0,0
2024-08-17,26.1,18.2,4.2,15.8,2.65,7.900000000000002,10.000000000000007,75.6,-1.129999999999999,0,0
2024-08-18,23.6,15.5,6.2,18.6,2.47,8.100000000000001,16.20000000000001,81.8,-3.4466666666666654,0,0
2024-08-19,23.5,14.1,0.0,8.0,3.18,9.4,16.20000000000001,81.8,-3.289999999999999,0,0
2024-08-20,24.6,13.2,0.1,12.5,3.0,11.400000000000002,16.200000000000006,80.7,-2.0299999999999976,0,0
2024-08-21,22.7,14.1,0.2,16.7,4.06,8.6,10.700000000000008,80.1,-3.780000000000001,0,0
2024-08-22,23.5,11.3,0.0,12.4,4.14,12.2,10.700000000000008,73.3,-2.9066666666666627,0,0
2024-08-23,28.2,14.1,0.0,27.2,5.17,14.1,10.700000000000008,73.19999999999999,1.6433333333333309,0,0
2024-08-24,32.1,17.5,0.8,21.9,5.83,14.600000000000001,7.300000000000008,74.0,5.323333333333334,0,0
2024-08-25,22.9,13.7,0.6,18.8,4.27,9.2,1.7000000000000073,63.9,-3.826666666666668,1,0
2024-08-26,23.1,10.1,0.0,8.3,3.88,13.000000000000002,1.7000000000000073,38.6,-3.620000000000001,1,0
2024-08-27,27.7,11.9,0.0,12.4,4.52,15.799999999999999,1.6000000000000072,36.800000000000004,0.8733333333333348,1,0
2024-08-28,30.3,15.6,0.0,10.0,4.59,14.700000000000001,1.400000000000007,36.800000000000004,3.3366666666666696,1,0
2024-08-29,32.9,17.7,0.0,11.9,4.52,15.2,1.400000000000007,36.800000000000004,5.849999999999998,1,0
2024-08-30,28.0,19.6,0.0,22.7,4.0,8.399999999999999,1.400000000000007,33.7,1.033333333333335,1,0
2024-08-31,30.4,18.0,0.0,18.1,4.92,12.399999999999999,0.6000000000000071,31.3,3.3200000000000003,1,0
2024-09-01,32.2,19.2,0.1,15.6,5.12,13.000000000000004,0.10000000000000711,30.000000000000004,4.896666666666668,1,0
2024-09-02,28.6,19.1,5.7,13.4,3.85,9.5,5.800000000000007,34.9,1.1899999999999977,0,0
2024-09-03,30.3,18.2,0.0,11.7,3.81,12.100000000000001,5.800000000000007,33.0,2.616666666666667,0,0
2024-09-04,25.4,18.3,1.7,14.0,2.39,7.099999999999998,7.500000000000007,34.7,-2.3166666666666664,0,0
2024-09-05,32.3,18.6,0.0,20.3,4.97,13.699999999999996,7.500000000000007,34.7,4.446666666666662,0,0
2024-09-06,24.1,17.6,0.4,11.5,2.09,6.5,7.900000000000007,26.1,-3.6566666666666627,0,0
2024-09-07,29.3,14.1,0.0,10.5,3.79,15.200000000000001,7.900000000000007,25.9,1.3933333333333309,0,0
2024-09-08,23.5,17.0,5.5,16.4,2.12,6.5,13.300000000000008,31.4,-4.260000000000002,0,0
2024-09-09,20.8,15.1,8.4,19.0,2.11,5.700000000000001,16.000000000000007,39.7,-6.729999999999997,0,1
2024-09-10,20.2,13.4,4.2,24.2,2.91,6.799999999999999,20.200000000000006,43.900000000000006,-7.0433333333333366,0,0
2024-09-11,16.5,7.2,2.8,26.9,1.66,9.3,21.300000000000008,46.7,-10.23,0,0
2024-09-12,15.0,6.9,1.6,13.2,2.13,8.1,22.90000000000001,48.2,-11.14,0,0
2024-09-13,16.4,5.8,0.4,20.2,2.43,10.599999999999998,22.900000000000006,42.9,-9.303333333333335,0,0
2024-09-14,16.0,8.4,0.4,20.5,2.23,7.6,23.300000000000004,43.3,-9.306666666666668,0,0
2024-09-15,19.0,5.8,0.0,17.0,2.55,13.2,17.800000000000004,43.3,-5.973333333333336,0,0
2024-09-16,17.9,10.1,0.4,20.5,1.56,7.799999999999999,9.800000000000008,39.5,-6.800000000000001,0,0
