date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2023-09-19,30.9,23.0,4.1,8.1,3.47,7.899999999999999,61.699999999999996,245.7,-0.4533333333333367,0,0
2023-09-20,31.5,22.7,3.5,10.5,3.45,8.8,60.699999999999996,214.9,0.20333333333333314,0,0
2023-09-21,32.0,22.5,0.2,10.7,4.51,9.5,58.1,204.0,0.6966666666666654,0,0
2023-09-22,31.9,22.7,0.0,11.9,4.61,9.2,42.7,191.7,0.5733333333333341,0,0
2023-09-23,32.0,22.6,0.0,11.4,4.49,9.399999999999999,34.1,176.7,0.6766666666666659,1,0
2023-09-24,33.5,23.5,0.2,10.3,4.91,10.0,20.599999999999998,148.4,2.0700000000000003,1,0
2023-09-25,32.8,23.0,0.0,8.8,4.7,9.799999999999997,8.0,147.3,1.2899999999999991,1,0
2023-09-26,33.0,23.0,0.1,12.9,4.9,10.0,4.0,147.1,1.4266666666666694,1,0
2023-09-27,33.8,23.8,0.0,13.7,5.17,9.999999999999996,0.5,146.8,2.1566666666666627,1,0
2023-09-28,34.6,23.3,0.2,10.0,4.94,11.3,0.5,146.5,2.8533333333333317,1,0
2023-09-29,33.3,22.9,12.0,10.1,4.19,10.399999999999999,12.5,158.5,1.5266666666666637,1,0
2023-09-30,34.0,23.5,0.1,10.2,5.05,10.5,12.6,158.3,2.1700000000000017,1,0
2023-10-01,33.7,23.1,0.0,10.1,4.69,10.600000000000001,12.4,157.9,1.793333333333333,1,0
2023-10-02,34.6,23.4,0.0,8.9,5.13,11.200000000000003,12.4,157.9,2.616666666666667,1,0
2023-10-03,33.9,24.5,1.3,10.7,4.7,9.399999999999999,13.6,159.1,1.8766666666666652,1,0
2023-10-04,34.5,24.8,1.4,10.8,4.81,9.7,15.0,160.1,2.3966666666666683,1,0
2023-10-05,34.2,23.9,0.2,11.3,4.08,10.300000000000004,15.0,148.7,2.030000000000001,1,0
2023-10-06,32.8,23.9,2.8,9.0,3.62,8.899999999999999,5.8,106.8,0.5999999999999943,1,0
2023-10-07,33.7,23.0,11.3,10.8,4.52,10.700000000000003,17.0,109.8,1.3566666666666691,1,0
2023-10-08,32.2,23.2,24.2,10.4,3.47,9.000000000000004,41.2,133.8,-0.1666666666666643,1,0
2023-10-09,29.7,23.4,7.4,8.8,3.05,6.300000000000001,48.6,141.2,-2.5699999999999967,0,0
